,,,,,,,,,
,,,Rivian R2 Reservations Tracker Form  <-- Link to submit your order info.                        ,,,,,,
,,,"* After submitting order info, please post a reply in this thread to notify us.",,,,,,
,,,Rivian R2 Reservations Change Request Form  <-- Link to submit edit request for your submitted order info.,,,,,,
,,,,,,,,,
,#,Username,R2 reservation date,Location,,Are you a current Rivian R1 owner?,"If you are a current R1 owner, will you be keeping your R1 and adding an R2?","If you are a current R1 owner, which model?",Other vehicles currently owned
,194,donaldbyrd,3/7/2024,OR,,Yes,Yes,R1S,volvo v60 cc
,195,ndmiller,3/7/2024,GA,,Yes,Yes,R1T,"Lexus GX460, Ford Maverick"
,196,Ksurfier,3/7/2024,CA,,Yes,Yes,R1S,Tesla
,197,sgec,3/7/2024,OR,,Yes,No,R1T,"BMW 328is, Chevrolet Astro, Chevrolet Bolt"
,198,RayzorBEV,3/7/2024,TX,,Yes,Yes,Both,"Tesla MY MIT, R1S, R1T, Cyberbeast (waiting VIN), Aptera (Acc. Launch Edition), Zero SZF"
,199,dgennetten,3/7/2024,CO,,Yes,Undecided,R1S,Audi TTS
,200,Shipdriver,3/7/2024,LA,,Yes,Yes,R1S,Volvo XC40
,201,valkyrie,3/7/2024,CA,,Yes,Yes,R1T,"2014 Land Rover LR4 HSE, 2018 Tesla Model 3 LR"
,202,jupiterking,3/7/2024,MA,,No,,,
,203,ndmiller,3/7/2024,GA,,Yes,Yes,R1T,"Lexus GX460, Ford Maverick"
,204,Mcarthur,3/7/2024,OR,,Yes,Yes,Both,
,205,renton777,3/7/2024,OH,,No,Undecided,,"MachE, Honda Odyssey "
,206,Moosehead,3/27/2024,CO,,Yes,Yes,R1T,"23 Porsche Cayenne, 22 Hyundai Ioniq 5, 78 Jeep Wagoneer, 01 Range Rover"
,207,HokieBird7980,3/7/2024,NC,,Yes,Yes,R1T,MB GLS 550
,208,Rcsting,3/7/2024,CA,,No,No,,Tesla Model Y Performance
,209,showmemo,3/7/2024,MO,,No,,,Model 3
,210,cmcintyre,3/7/2024,CT,,Yes,Yes,R1T,"Porsche 911, Factory Five 818 Coupe"
,211,tjMRL,3/7/2024,MA,,Yes,Undecided,R1T,21 RAV4 Prime
,212,robbinscx,3/7/2024,CA,,Yes,Yes,R1S,Honda Accord and Civic
,213,Sean_Andersen,3/7/2024,CA,,Yes,Yes,R1T,Genesis GV60
,214,Swezey,3/7/2024,TX,,Yes,Yes,R1T,21' GLC 43 AMG
,215,Shirlee,3/7/2024,OR,,Yes,Undecided,Both,N/a
,216,pdfontes,3/7/2024,CA,,Yes,Yes,R1S,Tesla Y
,217,AHO,3/7/2024,CA,,Yes,Yes,R1S,
,218,Krisbuggy,3/7/2024,Canada - British Columbia,,No,No,,None
,219,Lars24,3/7/2024,VT,,Yes,Undecided,R1T,
,220,GearTunnel,3/7/2024,PA,,No,,,"BMW 328i GT, (2015), Mazda CX-5 Signature Turbo (2023), Jeep Cherokee 4x4 (1999)"
,221,22R1S,3/7/2024,TX,,Yes,Yes,R1S,Kia Sorento SXL
,222,Schwartz83,3/7/2024,MN,,Yes,Yes,R1T,Subaru Outback 
,223,TollKeeper,3/7/2024,CO,,Yes,Undecided,R1S,"Saturn Relay, GMC Envoy"
,224,Sparky_Z,3/7/2024,MD,,Yes,Yes,R1S,
,225,ibblegib,3/7/2024,IL,,Yes,Undecided,R1S,Tesla Model Y Performance
,226,JAmuso,3/7/2024,CT,,Yes,Yes,R1T,Honda CRV
,227,AAK,3/7/2024,MN,,Yes,Yes,R1T,None
,228,Jayster71,3/7/2024,GA,,No,,,Tacoma
,229,bathbunny,3/7/2024,HI,,No,,,Tesla Model 3
,230,gallaprasanna,3/7/2024,IL,,No,,,Mustang
,231,pdq,3/7/2024,NJ,,Yes,Yes,R1S,Tesla Y
,232,Rivy,3/7/2024,Canada - British Columbia,,Yes,Yes,R1T,
,233,BrianE,3/7/2024,NC,,Yes,Undecided,R1S,MDX
,234,paariv,3/7/2024,CA,,Yes,Yes,R1S,BMW x2 m35
,235,DWingert,3/7/2024,MN,,No,,,"Alfa Romeo Giulia, Alfa Romeo Stelvio Quadrifoglio, Jeep Gladiator (diesel)"
